,postal_code,name,lat,lon
9716,27700,Hennezis,49.1926,1.459
9717,27430,Herqueville,49.2431,1.2741
9718,27630,Heubécourt-Haricourt,49.1285,1.5645
9719,27400,Heudebouville,49.1926,1.2381
9720,27600,Heudebouville,49.1926,1.2381
9721,27860,Heudicourt,49.3329,1.6596
9722,27230,Heudreville-en-Lieuvin,49.1942,0.5002
9723,27400,Heudreville-sur-Eure,49.1308,1.188
9724,27950,La Heunière,49.0638,1.4135
9725,27700,Heuqueville,49.2877,1.3221
9726,27910,Les Hogues,49.424,1.4132
9727,27400,Hondouville,49.1457,1.1098
9728,27310,Honguemare-Guenouville,49.3789,0.8206
9729,27570,L'Hosmes,48.7889,1.0291
9730,27400,Houetteville,49.1286,1.0948
9731,27120,Houlbec-Cocherel,49.0637,1.3588
9732,27410,La Houssaye,48.9958,0.8014
9733,27440,Houville-en-Vexin,49.2976,1.3586
9734,27930,Huest,49.0346,1.2078
9735,27460,Igoville,49.3251,1.1511
9736,27290,Illeville-sur-Montfort,49.3198,0.7087
9737,27770,Illiers-l'Évêque,48.8254,1.2639
9738,27400,Incarville,49.2474,1.154
9739,27930,Irreville,49.0975,1.2019
9740,27110,Iville,49.1754,0.9268
9741,27540,Ivry-la-Bataille,48.8847,1.4467
9742,27120,Jouy-sur-Eure,49.0486,1.2917
9743,27250,Juignettes,48.8475,0.6427
9744,27220,Jumelles,48.9194,1.2102
9745,27210,La Lande-Saint-Léger,49.2946,0.339
9746,27350,Le Landin,49.4095,0.8034
9747,27470,Launay,49.1076,0.7369
9748,27690,Léry,49.2884,1.1929
9749,27910,Letteguives,49.4206,1.3297
9750,27560,Lieurey,49.2323,0.5035
9751,27220,Lignerolles,48.8463,1.275
9752,27480,Lilly,49.4034,1.5681
9753,27440,Lisors,49.3571,1.472
9754,27800,Livet-sur-Authou,49.2302,0.6554
9755,27150,Longchamps,49.3562,1.6222
9756,27480,Lorleau,49.4205,1.5032
9757,27190,Louversey,48.9956,0.9148
9758,27400,Louviers,49.2213,1.1562
9759,27650,Louye,48.7964,1.3223
9760,27480,Lyons-la-Forêt,49.3969,1.4761
9761,27320,La Madeleine-de-Nonancourt,48.7913,1.219
9762,27150,Mainneville,49.3759,1.6845
9763,27800,Malleville-sur-le-Bec,49.242,0.7449
9764,27300,Malouy,49.1286,0.5321
9765,27370,Mandeville,49.2146,1.0131
9766,27130,Mandres,48.755,0.8489
9767,27210,Manneville-la-Raoult,49.3728,0.3308
9768,27500,Manneville-sur-Risle,49.36,0.5423
9769,27460,Le Manoir,49.3213,1.1972
9770,27680,Marais-Vernier,49.4372,0.4589
9771,27110,Marbeuf,49.1538,0.9623
9772,27320,Marcilly-la-Campagne,48.8277,1.1866
9773,27810,Marcilly-sur-Eure,48.8213,1.3335
9774,27150,Martagny,49.3949,1.6591
9775,27210,Martainville,49.3009,0.3835
9776,27340,Martot,49.28,1.0686
9777,27390,Mélicourt,48.9132,0.5076
9778,27850,Ménesqueville,49.3571,1.4079
9779,27120,Ménilles,49.0383,1.371
9780,27300,Menneval,49.1009,0.6259
9781,27950,Mercey,49.0826,1.3978
9782,27640,Merey,48.9588,1.3895
9783,27930,Le Mesnil-Fuguet,49.0734,1.1158
9784,27400,Le Mesnil-Jourdain,49.1815,1.131
9785,27390,Mesnil-Rousset,48.8939,0.5585
9786,27150,Mesnil-sous-Vienne,49.3852,1.6675
9787,27650,Mesnil-sur-l'Estrée,48.7785,1.2923
9788,27440,Mesnil-Verclives,49.3239,1.4674
9789,27510,Mézières-en-Vexin,49.1778,1.5037
